626,63,1
369,215,2
59,216,3
46,573,4
214,215,5
73,495,6
309,187,7
570,550,8
741,503,9
185,52,10
221,304,11
704,155,12
754,133,13
744,40,14
598,227,15
639,358,16
50,27,17
301,255,18
125,135,19
209,422,20
356,554,21
158,520,22
437,381,23
26,90,24
36,319,25
349,484,26
194,368,27
88,441,28
653,280,29
382,72,30
676,576,31
541,294,32
544,408,33
446,322,34
194,564,35
575,132,36
290,497,37
99,363,38
740,362,39
70,121,40
721,95,41
363,434,42
603,300,43
369,312,44
244,563,45
779,278,46
732,298,47
477,262,48
463,467,49
725,554,50
708,401,51
38,437,52
529,39,53
256,78,54
573,500,55
163,271,56
112,219,57
500,100,58
26,155,59
435,194,60
214,496,61
446,555,62
105,43,63
272,410,64
96,542,65
610,434,66
531,205,67
458,40,68
262,28,69
572,352,70
511,559,71
422,243,72
666,453,73
315,137,74
335,383,75
678,45,76
500,376,77
140,393,78
308,54,79
777,570,80
259,345,81
184,135,82
404,22,83
638,177,84
657,103,85
91,277,86
762,198,87
430,124,88
385,164,89
495,509,90
527,153,91
401,479,92
142,446,93
769,429,94
622,485,95
717,248,96
301,557,97
477,148,98
156,322,99
248,254,100
